,DateTime,Open,High,Low,Close,Volume
1491,20220629  11:00:00,380.845,381.075,379.975,380.62,-1
1492,20220629  11:10:00,380.62,380.87,379.915,379.99,-1
1493,20220629  11:20:00,379.99,380.145,379.195,379.95,-1
1494,20220629  11:30:00,379.95,381.15,379.655,380.765,-1
1495,20220629  11:40:00,380.765,381.045,379.95,380.3,-1
1496,20220629  11:50:00,380.3,381.06,380.11,380.54,-1
1497,20220629  12:00:00,380.54,380.705,379.605,379.66,-1
1498,20220629  12:10:00,379.66,379.865,379.095,379.58,-1
1499,20220629  12:20:00,379.58,379.84,378.455,378.595,-1
1500,20220629  12:30:00,378.595,379.925,378.535,379.595,-1
1501,20220629  12:40:00,379.595,379.855,379.19,379.29,-1
1502,20220629  12:50:00,379.29,379.76,379.105,379.575,-1
1503,20220629  13:00:00,379.575,380.145,379.265,380.125,-1
1504,20220629  13:10:00,380.125,380.405,378.845,379.035,-1
1505,20220629  13:20:00,379.035,379.785,378.745,379.57,-1
1506,20220629  13:30:00,379.57,379.99,379.145,379.88,-1
1507,20220629  13:40:00,379.88,380.37,379.78,380.095,-1
1508,20220629  13:50:00,380.095,380.91,380.03,380.815,-1
1509,20220629  14:00:00,380.815,381.7,380.66,381.44,-1
1510,20220629  14:10:00,381.44,381.69,381.155,381.35,-1
1511,20220629  14:20:00,381.35,381.395,380.79,381.305,-1
1512,20220629  14:30:00,381.305,381.35,380.505,380.525,-1
1513,20220629  14:40:00,380.525,380.63,379.69,379.87,-1
1514,20220629  14:50:00,379.87,380.395,379.685,380.065,-1
1515,20220629  15:00:00,380.065,380.585,379.535,380.51,-1
1516,20220629  15:10:00,380.51,380.985,379.94,380.455,-1
1517,20220629  15:20:00,380.455,381.515,380.395,381.48,-1
1518,20220629  15:30:00,381.48,381.505,379.98,380.29,-1
1519,20220629  15:40:00,380.29,380.425,379.76,380.09,-1
1520,20220629  15:50:00,380.09,380.855,379.525,380.365,-1
